fullVisitorId,channelGrouping,socialEngagementType,visitStartTime,device.browser,device.operatingSystem,device.isMobile,device.deviceCategory,geoNetwork.continent,geoNetwork.subContinent,geoNetwork.country,geoNetwork.region,geoNetwork.metro,geoNetwork.city,geoNetwork.networkDomain,totals.visits,totals.newVisits,trafficSource.campaign,trafficSource.source,trafficSource.medium,trafficSource.keyword,trafficSource.isTrueDirect,trafficSource.referralPath,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adContent,date,visitNumber,totals.hits,totals.pageviews,totals.transactionRevenue
6194193421514403509,2,0,4,2,2,0,0,2,9,66,40,12,3,0,0,0,0,0,0,2,0,0,0,1,199,0,0,5,9.0,1.0,11.0,11.0,37860000
5327166854580374902,4,0,4,2,3,0,0,2,9,66,48,27,76,0,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,3.0,11.0,10.0,306670000
8885051388942907862,6,0,23,2,2,0,0,2,9,66,48,27,76,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,7.0,13.0,11.0,68030000
0185467632009737931,6,0,4,2,4,0,0,2,9,66,10,41,72,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,6.0,13.0,12.0,26250000
3244885836845029978,6,0,23,2,3,0,0,2,9,66,10,41,76,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,4.0,17.0,14.0,574150000
3351538799616866750,6,0,7,2,2,0,0,2,9,66,10,41,72,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,17.0,17.0,8380000
1776658355119092313,2,0,9,7,3,0,0,2,9,66,10,41,104,140,0,0,0,0,0,2,0,0,0,1,199,0,0,5,9.0,1.0,19.0,16.0,395730000
770431600902969839,6,0,2,2,2,0,0,2,9,66,74,42,112,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,13.0,20.0,15.0,24080000
7147112211830167925,4,0,6,2,0,1,1,2,9,66,10,41,72,178,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,1.0,22.0,16.0,35480000
6664733704830724714,6,0,7,2,1,0,0,2,9,66,10,41,72,0,0,0,0,38,6,2,0,16,0,1,199,0,0,5,9.0,7.0,22.0,20.0,35080000
6045930241388777741,4,0,23,2,4,0,0,2,9,66,10,41,76,730,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,6.0,22.0,16.0,81500000
1546626226233851002,6,0,2,2,3,0,0,2,9,66,10,41,117,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,3.0,24.0,21.0,546320000
4755168908070236728,6,0,5,2,2,0,0,2,9,66,48,27,76,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,27.0,22.0,63840000
3794016165791476291,4,0,1,7,6,1,1,2,9,66,10,41,103,48,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,1.0,28.0,20.0,117340000
0314733033105141755,6,0,14,2,3,0,0,2,9,66,10,41,76,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,1.0,28.0,21.0,43710000
747690048733385763,2,0,22,7,3,0,0,2,9,66,10,41,76,140,0,0,0,0,0,2,0,0,0,1,199,0,0,5,9.0,2.0,33.0,24.0,34480000
8007300615127214527,4,0,6,2,3,0,0,2,9,66,10,41,117,0,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,3.0,34.0,30.0,35390000
8516473451212465925,6,0,4,2,3,0,0,2,9,66,10,41,103,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,1.0,35.0,29.0,339030000
6712520540378436905,4,0,6,2,1,0,0,2,9,66,10,41,72,0,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,1.0,38.0,31.0,33670000
3152246617474456269,6,0,0,2,4,0,0,2,9,66,26,7,24,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,38.0,28.0,635500000
1881458907401964229,6,0,5,2,3,0,0,2,9,66,10,41,76,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,1.0,41.0,26.0,103240000
1095886019324498043,6,0,2,2,4,0,0,2,9,66,10,41,72,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,41.0,34.0,305470000
8585031285178547027,6,0,8,2,2,0,0,2,9,66,10,41,72,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,47.0,35.0,5150000
3741689406060673010,6,0,8,2,1,0,0,2,9,66,10,41,72,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,50.0,36.0,90850000
4293841073200012958,6,0,7,2,3,0,0,2,9,66,26,7,24,509,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,1.0,67.0,52.0,10590000
0643132668463442280,4,0,10,2,4,0,0,2,9,66,10,41,76,0,0,0,0,15,5,2,0,0,0,1,199,0,0,5,9.0,1.0,67.0,44.0,25680000
1710046532262949205,6,0,2,2,3,0,0,2,9,66,10,41,76,0,0,0,0,25,6,2,0,0,0,1,199,0,0,5,9.0,2.0,72.0,50.0,338970000
7168226225550508027,3,0,2,2,3,0,0,2,9,66,48,27,76,0,0,0,0,9,4,2,0,0,0,1,199,0,0,5,1.0,3.0,42.0,33.0,593910000
