fullVisitorId,channelGrouping,socialEngagementType,visitStartTime,device.browser,device.browserVersion,device.browserSize,device.operatingSystem,device.operatingSystemVersion,device.isMobile,device.mobileDeviceBranding,device.mobileDeviceModel,device.mobileInputSelector,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.flashVersion,device.language,device.screenColors,device.screenResolution,device.deviceCategory,geoNetwork.continent,geoNetwork.subContinent,geoNetwork.country,geoNetwork.region,geoNetwork.metro,geoNetwork.city,geoNetwork.cityId,geoNetwork.networkDomain,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.networkLocation,totals.newVisits,trafficSource.campaign,trafficSource.source,trafficSource.medium,trafficSource.keyword,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.isTrueDirect,trafficSource.referralPath,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adContent,date,visitNumber,totals.hits,totals.pageviews,totals.transactionRevenue
6.19419E+18,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,13,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,1.0,11.0,11.0,37860000
5.32717E+18,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,18,15,30,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,3.0,11.0,10.0,306670000
8.88505E+18,4,0,23,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,18,15,30,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,7.0,13.0,11.0,68030000
1.85468E+17,4,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,6.0,13.0,12.0,26250000
3.24489E+18,4,0,23,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,4.0,17.0,14.0,574150000
3.35154E+18,4,0,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,17.0,17.0,8380000
1.77666E+18,0,0,9,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,44,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,1.0,19.0,16.0,395730000
7.70432E+17,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,33,23,49,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,13.0,20.0,15.0,24080000
7.14711E+18,2,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,20,2,22,28,0,34,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,1.0,22.0,16.0,35480000
6.66473E+18,4,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,19,4,1,0,0,6,0,0,0,0,0,1,9.0,7.0,22.0,20.0,35080000
6.04593E+18,2,0,23,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,148,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,6.0,22.0,16.0,81500000
1.54663E+18,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,51,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,3.0,24.0,21.0,546320000
4.75517E+18,4,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,18,15,30,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,27.0,22.0,63840000
3.79402E+18,2,0,1,5,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,4,20,2,22,43,0,8,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,1.0,28.0,20.0,117340000
3.14733E+17,4,0,14,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,1.0,28.0,21.0,43710000
7.4769E+17,0,0,22,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,2.0,33.0,24.0,34480000
8.0073E+18,2,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,51,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,3.0,34.0,30.0,35390000
8.51647E+18,4,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,43,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,1.0,35.0,29.0,339030000
6.71252E+18,2,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,1.0,38.0,31.0,33670000
3.15225E+18,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,9,6,10,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,38.0,28.0,635500000
1.88146E+18,4,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,1.0,41.0,26.0,103240000
1.09589E+18,4,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,41.0,34.0,305470000
8.58503E+18,4,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,47.0,35.0,5150000
3.74169E+18,4,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,50.0,36.0,90850000
4.29384E+18,4,0,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,9,6,10,0,110,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,1.0,67.0,52.0,10590000
6.43133E+17,2,0,10,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,9.0,1.0,67.0,44.0,25680000
1.71005E+18,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,9.0,2.0,72.0,50.0,338970000
7.16823E+18,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,18,15,30,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,1,1.0,3.0,42.0,33.0,593910000
2.92358E+18,4,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,28,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,1.0,7.0,8.0,8.0,44790000
6.27222E+16,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,1.0,3.0,12.0,10.0,30390000
4.35741E+18,2,0,11,5,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,4,20,21,18,53,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,1.0,1.0,12.0,10.0,10990000
4.29083E+18,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,47,0,138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,13.0,11.0,24990000
4.39547E+18,0,0,9,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,4,20,36,25,57,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,15.0,14.0,16970000
5.84396E+18,0,0,10,5,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,4,20,36,25,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,2.0,18.0,9.0,8980000
8.94651E+18,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,13,8,1,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,1.0,5.0,20.0,16.0,30720000
4.63326E+17,4,0,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,1,1.0,3.0,20.0,16.0,44790000
2.05819E+17,2,0,11,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,36,25,57,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,1.0,6.0,22.0,17.0,11960000
6.38882E+18,2,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2,22,43,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,1,1.0,4.0,23.0,17.0,57570000
